key,precincts,name
601,570,District 1 - Northeast California
602,744,District 2 - Marin-North Coast
603,430,District 3 - Colusa-Yuba-Davis-Fairfield
604,545,District 4 - Roseville-Southern Sierra
605,546,District 5 - Lakeport-Santa Rosa-Martinez
606,0,District 6 - Sacramento
607,281,District 7 - East Sacramento County
608,1023,District 8 - East Yosemite-Mohave
609,505,District 9 - San Joaquin
610,477,District 10 - Stanislaus
611,475,District 11 - Contra Costa
612,529,District 12 - San Francisco
613,0,District 13 - Berkeley-San Leandro
614,0,District 14 - San Mateo
615,593,District 15 - Hayward-Livermore
616,0,District 16 - Merced-Fresno
617,341,District 17 - Fremont-Milpitas-Cupertino
618,508,District 18 - Silicon Valley-Santa Cruz
619,0,District 19 - San Jose-Morgan Hill
620,351,District 20 - Santa Cruz-Monterey
621,0,District 21 - San Benito County
622,234,District 22 - Clovis-Visalia
623,430,District 23 - Southern Sierra-Lancaster
624,366,District 24 - Paso Robles-Santa Barbara
625,312,District 25 - Santa Clarita-Palmdale
626,491,District 26 - Ventura County
627,0,District 27 - Pasadena-Claremont
628,332,District 28 - Burbank-Hollywood
629,238,District 29 - East San Fernando Valley
630,319,District 30 - West San Fernando Valley
631,540,District 31 - San Bernardino
632,0,District 32 - El Monte-Covina
633,423,District 33 - Coastal Los Angeles
634,234,District 34 - Downtown Los Angeles
635,319,District 35 - Ontario
636,288,District 36 - Coachella Valley
637,0,District 37 - Culver City
638,0,District 38 - Whittier
639,384,District 39 - Fullerton-Yorba Linda
640,0,District 40 - East Los Angeles-Downey
641,0,District 41 - Riverside-Moreno Valley
642,309,District 42 - Corona-Temecula
643,339,District 43 - Inglewood-Torrance
644,314,District 44 - Compton-Carson
645,395,District 45 - Irvine-Mission Viejo
646,233,District 46 - Anaheim-Santa Ana
647,361,District 47 - Long Beach
648,415,District 48 - Huntington Beach
649,405,District 49 - Mission Viejo-Encinitas
650,370,District 50 - East San Diego County
651,431,District 51 - South San Deigo-Imperial
652,402,District 52 - Escondido-San Diego
653,434,District 53 - Mission Valley-El Cajon
